"","Kanal 1 Durchschn. (V)"
"354","0,456023"
"355","0,457720"
"356","0,459495"
"357","0,460807"
"358","0,462118"
"359","0,463970"
"360","0,465668"
"361","0,466825"
"362","0,468600"
"363","0,470915"
"364","0,472381"
"365","0,473461"
"366","0,475621"
"367","0,477473"
"368","0,478554"
"369","0,480097"
"370","0,482103"
"371","0,483492"
"372","0,484495"
"373","0,486347"
"374","0,488276"
"375","0,489356"
"376","0,490591"
"377","0,492828"
"378","0,494140"
"379","0,495143"
"380","0,497072"
"381","0,499078"
"382","0,500159"
"383","0,501625"
"384","0,503399"
"385","0,504943"
"386","0,506100"
"387","0,507643"
"388","0,509495"
"389","0,511193"
"390","0,512119"
"391","0,514356"
"392","0,515745"
"393","0,516671"
"394","0,518369"
"395","0,520452"
"396","0,521378"
"397","0,522535"
"398","0,524773"
"399","0,526394"
"400","0,527474"
"401","0,529017"
"402","0,531023"
"403","0,532258"
"404","0,533492"
"405","0,535267"
"406","0,537119"
"407","0,537813"
"408","0,539588"
"409","0,541671"
"410","0,542675"
"411","0,543909"
"412","0,545992"
"413","0,547459"
"414","0,548770"
"415","0,550159"
"416","0,552165"
"417","0,553246"
"418","0,554326"
"419","0,556332"
"420","0,558184"
"421","0,559341"
"422","0,560653"
"423","0,562582"
"424","0,563894"
"425","0,564897"
"426","0,566749"
"427","0,568601"
"428","0,569681"
"429","0,571610"
"430","0,572999"
"431","0,574388"
"432","0,575545"
"433","0,577397"
"434","0,579249"
"435","0,580175"
"436","0,581332"
"437","0,583493"
"438","0,584959"
"439","0,585962"
"440","0,587582"
"441","0,589897"
"442","0,590823"
"443","0,592212"
"444","0,594064"
"445","0,595607"
"446","0,596765"
"447","0,598539"
"448","0,600082"
"449","0,601394"
"450","0,602320"
"451","0,604172"
"452","0,606024"
"453","0,606950"
"454","0,608416"
"455","0,610191"
"456","0,611811"
"457","0,612814"
"458","0,614743"
"459","0,616749"
"460","0,617289"
"461","0,618601"
"462","0,620684"
"463","0,622073"
"464","0,623076"
"465","0,624774"
"466","0,626472"
"467","0,627475"
"468","0,628786"
"469","0,630947"
"470","0,632336"
"471","0,633262"
"472","0,635191"
"473","0,636965"
"474","0,638046"
"475","0,639126"
"476","0,641055"
"477","0,642521"
"478","0,643756"
"479","0,645222"
"480","0,647305"
"481","0,648308"
"482","0,649311"
"483","0,651240"
"484","0,652938"
"485","0,654095"
"486","0,655716"
"487","0,657413"
"488","0,658571"
"489","0,659574"
"490","0,661503"
"491","0,663432"
"492","0,664049"
"493","0,665515"
"494","0,667521"
"495","0,668910"
"496","0,669913"
"497","0,671688"
"498","0,673617"
"499","0,674311"
"500","0,675623"
"501","0,677629"
"502","0,679173"
"503","0,680099"
"504","0,681796"
"505","0,683571"
