Signal Name,Original_Signal (Time Cut)
holding_voltage,2.992418958081646
unloading_parameter,[-1.28695989e-05  2.65615636e-02 -1.83369489e+01  4.23647787e+03]
peak_time,678.21
peak_value,2.991
peak_mean,2.991224195338513
plus_minus_toleranz,0.0015745970913219362
U3,0.06602445203135732


time,value,derivative
678.21,2.991,-0.10000000000007994
678.22,2.99,-0.10000000000007958
678.23,2.989,-2.050000000001859
678.24,2.949,-2.2500000000020464
678.25,2.944,-0.40000000000037517
678.26,2.941,-0.3500000000003354
678.27,2.937,-0.2500000000002274
678.28,2.936,-0.20000000000018758
678.29,2.933,-0.20000000000018758
678.3000000000001,2.932,-0.20000000000018758
678.3100000000001,2.929,-0.20000000000018758
678.32,2.928,-0.15000000000011937
678.33,2.926,-0.15000000000011937
678.34,2.925,-0.15000000000011937
678.35,2.923,-0.15000000000011937
678.36,2.922,-0.100000000000108
678.37,2.921,-0.100000000000108
678.38,2.92,-0.10000000000007958
678.39,2.919,-0.1500000000001478
678.4,2.917,-0.100000000000108
678.41,2.917,-0.10000000000007958
678.42,2.915,-0.10000000000064801
678.4300000000001,2.915,-0.10000000000067644
678.44,2.913,-0.100000000000108
678.45,2.913,-0.10000000000007958
678.46,2.911,-0.10000000000007958
678.47,2.911,-0.100000000000108
678.48,2.909,-0.100000000000108
678.49,2.909,-0.05000000000003979
678.5,2.908,-0.10000000000007958
678.51,2.907,-0.10000000000007958
678.52,2.906,-0.10000000000007958
678.53,2.905,-0.05000000000003979
678.54,2.905,-0.09999999999837428
678.5500000000001,2.903,-0.09999999999837428
678.5600000000001,2.903,-0.100000000000108
678.57,2.901,-0.100000000000108
678.58,2.901,-0.05000000000003979
678.59,2.9,-0.05000000000003979
678.6,2.9,-0.10000000000007958
678.61,2.898,-0.10000000000007958
678.62,2.898,-0.05000000000006821
678.63,2.897,-0.100000000000108
678.64,2.896,-0.05000000000003979
678.65,2.896,-0.10000000000007958
678.66,2.894,-0.05000000000003979
678.67,2.895,-0.04999999999807869
678.6800000000001,2.893,-0.0999999999984027
678.69,2.893,-0.10000000000007958
678.7,2.891,-0.05000000000003979
678.71,2.892,-0.05000000000003979
678.72,2.89,-0.10000000000007958
678.73,2.89,-0.05000000000006821
678.74,2.889,-0.100000000000108
678.75,2.888,-0.05000000000003979
678.76,2.888,-0.10000000000007958
678.77,2.886,-0.10000000000007958
678.78,2.886,-0.05000000000003979
678.79,2.885,-0.05000000000032401
678.8000000000001,2.885,-0.10000000000064801
678.8100000000001,2.883,-0.05000000000003979
678.82,2.884,-0.05000000000003979
678.83,2.882,-0.10000000000007958
678.84,2.882,-0.05000000000006821
678.85,2.881,-0.100000000000108
678.86,2.88,-0.10000000000007958
678.87,2.879,-0.05000000000003979
678.88,2.879,-0.05000000000003979
678.89,2.878,-0.100000000000108
678.9,2.877,-0.05000000000006821
678.91,2.877,-0.05000000000003979
678.92,2.876,-0.05000000000032401
678.9300000000001,2.876,-0.10000000000064801
678.94,2.874,-0.10000000000007958
678.95,2.874,-0.05000000000003979
678.96,2.873,-0.05000000000003979
678.97,2.873,-0.05000000000006821
678.98,2.872,-0.100000000000108
678.99,2.871,-0.10000000000007958
679.0,2.87,-0.05000000000003979
679.01,2.87,-0.05000000000003979
679.02,2.869,-0.100000000000108
679.03,2.868,-0.05000000000006821
679.04,2.868,-0.04999999999918714
679.0500000000001,2.867,-0.04999999999918714
679.0600000000001,2.867,-0.05000000000003979
679.07,2.866,-0.05000000000003979
679.08,2.866,-0.10000000000007958
679.09,2.864,-0.10000000000007958
679.1,2.864,-0.05000000000003979
679.11,2.863,-0.10000000000007958
679.12,2.862,-0.05000000000003979
679.13,2.862,-0.05000000000003979
