"","Kanal 1 Durchschn. (V)"
"1","0,001286"
"2","0,001080"
"3","0,001029"
"4","0,001157"
"5","0,001286"
"6","0,001157"
"7","0,001389"
"8","0,001286"
"9","0,001389"
"10","0,001157"
"11","0,000965"
"12","0,001389"
"13","0,001543"
"14","0,001543"
"15","0,000965"
"16","0,000965"
"17","0,001736"
"18","0,000965"
"19","0,001389"
"20","0,000965"
"21","0,000965"
"22","0,001157"
"23","0,001286"
"24","0,001235"
"25","0,001157"
"26","0,000965"
"27","0,001543"
"28","0,001286"
"29","0,001235"
"30","0,000965"
"31","0,001157"
"32","0,001286"
"33","0,001543"
"34","0,001235"
"35","0,001350"
"36","0,000965"
"37","0,001080"
"38","0,001029"
"39","0,001080"
"40","0,001350"
"41","0,001286"
"42","0,001157"
"43","0,001029"
"44","0,000926"
"45","0,001350"
"46","0,001543"
"47","0,001157"
"48","0,001029"
"49","0,001350"
"50","0,001543"
"51","0,001286"
"52","0,001029"
"53","0,001029"
"54","0,001235"
"55","0,001389"
"56","0,001286"
"57","0,001157"
"58","0,001286"
"59","0,001235"
"60","0,001080"
"61","0,001286"
"62","0,001286"
"63","0,001157"
"64","0,001157"
"65","0,001080"
"66","0,001286"
"67","0,001415"
"68","0,001350"
"69","0,001350"
"70","0,001389"
"71","0,001543"
"72","0,001350"
"73","0,001543"
"74","0,000965"
"75","0,001235"
"76","0,001286"
"77","0,001157"
"78","0,000965"
"79","0,001350"
"80","0,001080"
"81","0,001286"
"82","0,001323"
"83","0,001029"
"84","0,000772"
"85","0,001286"
"86","0,001157"
"87","0,001543"
"88","0,001286"
"89","0,001350"
"90","0,001080"
"91","0,001543"
"92","0,001543"
"93","0,001350"
"94","0,000965"
"95","0,001235"
"96","0,001543"
"97","0,001157"
"98","0,001157"
"99","0,000965"
"100","0,001350"
"101","0,001029"
"102","0,001389"
"103","0,001157"
"104","0,000772"
"105","0,001389"
"106","0,001286"
"107","0,001157"
"108","0,001157"
"109","0,001350"
"110","0,001543"
"111","0,001286"
"112","0,001235"
"113","0,000772"
"114","0,001157"
"115","0,001736"
"116","0,001286"
"117","0,001389"
"118","0,001157"
"119","0,001157"
"120","0,001235"
"121","0,001286"
"122","0,001080"
"123","0,001350"
"124","0,001157"
"125","0,001543"
"126","0,001029"
"127","0,001235"
"128","0,001543"
"129","0,001286"
"130","0,001102"
"131","0,001029"
"132","0,001157"
"133","0,001350"
"134","0,001157"
"135","0,001389"
"136","0,001029"
"137","0,000926"
"138","0,001235"
"139","0,001029"
"140","0,001029"
"141","0,001286"
"142","0,001235"
"143","0,001286"
"144","0,001029"
"145","0,001029"
"146","0,001157"
"147","0,001286"
"148","0,001543"
"149","0,001286"
"150","0,001286"
"151","0,001286"
"152","0,001157"
"153","0,001286"
"154","0,001286"
"155","0,001286"
"156","0,001029"
"157","0,001286"
"158","0,001350"
"159","0,001029"
"160","0,001029"
"161","0,001286"
"162","0,000965"
"163","0,001350"
"164","0,001029"
"165","0,001157"
"166","0,001286"
"167","0,001543"
"168","0,001157"
"169","0,001286"
"170","0,001029"
"171","0,001029"
"172","0,001543"
"173","0,001235"
"174","0,001543"
"175","0,001389"
"176","0,001286"
"177","0,001235"
"178","0,001235"
"179","0,001286"
"180","0,001286"
"181","0,001029"
"182","0,001080"
"183","0,001350"
"184","0,001286"
"185","0,001157"
"186","0,001286"
"187","0,001350"
"188","0,001157"
"189","0,001543"
"190","0,001157"
"191","0,001029"
"192","0,001235"
"193","0,001350"
"194","0,001286"
"195","0,001157"
"196","0,001543"
"197","0,001235"
"198","0,001350"
"199","0,001286"
"200","0,001235"
"201","0,001286"
"202","0,001157"
"203","0,001157"
"204","0,001029"
"205","0,001029"
"206","0,001029"
"207","0,001235"
"208","0,001157"
"209","0,001286"
"210","0,001029"
"211","0,001286"
"212","0,001080"
"213","0,001080"
"214","0,001029"
"215","0,001157"
"216","0,001286"
"217","0,001157"
"218","0,001157"
"219","0,001286"
"220","0,001157"
"221","0,001029"
"222","0,001235"
"223","0,001235"
"224","0,001286"
"225","0,001286"
"226","0,001543"
"227","0,001157"
"228","0,001543"
"229","0,001286"
"230","0,001157"
"231","0,001029"
"232","0,000900"
"233","0,001543"
"234","0,001286"
"235","0,001080"
"236","0,001543"
"237","0,001389"
"238","0,001080"
"239","0,001286"
"240","0,001286"
"241","0,001029"
"242","0,001235"
"243","0,001543"
"244","0,001286"
"245","0,001286"
"246","0,001543"
"247","0,001350"
"248","0,001350"
"249","0,001286"
"250","0,001157"
"251","0,001286"
"252","0,001080"
"253","0,001543"
"254","0,001543"
"255","0,001286"
"256","0,001286"
"257","0,001235"
"258","0,001350"
"259","0,001029"
"260","0,001286"
"261","0,001029"
"262","0,001235"
"263","0,001157"
"264","0,001157"
"265","0,001157"
"266","0,001286"
"267","0,001080"
"268","0,001157"
"269","0,001286"
"270","0,001029"
"271","0,001286"
"272","0,001080"
"273","0,001157"
"274","0,001286"
"275","0,001157"
"276","0,001286"
"277","0,001080"
"278","0,000965"
"279","0,001286"
"280","0,001543"
"281","0,001029"
"282","0,001543"
"283","0,001157"
"284","0,001157"
"285","0,001389"
"286","0,001543"
"287","0,001235"
"288","0,001350"
"289","0,001286"
"290","0,001286"
"291","0,001286"
"292","0,001080"
"293","0,000965"
"294","0,000965"
"295","0,001389"
"296","0,001157"
"297","0,001235"
"298","0,001157"
"299","0,001157"
"300","0,001080"
"301","0,001286"
"302","0,001543"
"303","0,000965"
"304","0,000965"
"305","0,001350"
"306","0,001286"
"307","0,001389"
"308","0,001157"
"309","0,001157"
"310","0,001080"
"311","0,001286"
"312","0,001389"
"313","0,001157"
"314","0,001350"
"315","0,001080"
"316","0,001543"
"317","0,001157"
"318","0,001157"
"319","0,001350"
"320","0,001235"
"321","0,001286"
"322","0,001286"
"323","0,001286"
"324","0,001350"
"325","0,001235"
"326","0,001286"
"327","0,001286"
"328","0,001286"
"329","0,001157"
"330","0,000926"
"331","0,001029"
"332","0,001286"
"333","0,001029"
"334","0,001543"
"335","0,001235"
"336","0,001029"
"337","0,000772"
"338","0,001286"
"339","0,001350"
"340","0,001543"
"341","0,001029"
"342","0,001235"
"343","0,001286"
"344","0,001286"
"345","0,001350"
"346","0,001029"
"347","0,001157"
"348","0,001157"
"349","0,001080"
"350","0,001350"
"351","0,001286"
"352","0,000900"
"353","0,001029"
"354","0,001080"
"355","0,001350"
"356","0,001286"
"357","0,001157"
"358","0,001543"
"359","0,001080"
"360","0,001029"
"361","0,001157"
"362","0,001286"
"363","0,001029"
"364","0,001235"
"365","0,001157"
"366","0,000965"
"367","0,001235"
"368","0,000772"
"369","0,001235"
"370","0,000965"
"371","0,001157"
"372","0,001389"
"373","0,000965"
"374","0,001543"
"375","0,000965"
"376","0,001157"
"377","0,001235"
"378","0,001286"
"379","0,001543"
"380","0,001286"
"381","0,001157"
"382","0,001080"
"383","0,001029"
"384","0,001157"
"385","0,001286"
"386","0,001350"
"387","0,001080"
"388","0,001286"
"389","0,001286"
"390","0,001286"
"391","0,001543"
"392","0,001157"
"393","0,001286"
"394","0,001080"
"395","0,001029"
"396","0,001350"
"397","0,001350"
"398","0,001543"
"399","0,001157"
"400","0,001286"
"401","0,001080"
"402","0,001350"
"403","0,001029"
"404","0,000772"
"405","0,001029"
"406","0,001080"
"407","0,001235"
"408","0,001157"
"409","0,001157"
"410","0,001029"
"411","0,001080"
"412","0,001157"
"413","0,001157"
"414","0,001157"
"415","0,001286"
"416","0,001235"
"417","0,001157"
"418","0,001286"
"419","0,001415"
"420","0,001157"
"421","0,001235"
"422","0,000965"
"423","0,000965"
"424","0,001389"
"425","0,001929"
"426","0,001235"
"427","0,000965"
"428","0,000965"
"429","0,001080"
"430","0,001286"
"431","0,001543"
"432","0,001157"
"433","0,001157"
"434","0,001080"
"435","0,001029"
"436","0,001080"
"437","0,001286"
"438","0,001350"
"439","0,001235"
"440","0,001029"
"441","0,001157"
"442","0,001543"
"443","0,001157"
"444","0,001350"
"445","0,001029"
"446","0,001029"
"447","0,001543"
"448","0,001157"
"449","0,001286"
"450","0,001286"
"451","0,001286"
"452","0,001286"
"453","0,001543"
"454","0,001350"
"455","0,001286"
"456","0,001157"
"457","0,001029"
"458","0,001157"
"459","0,001350"
"460","0,001543"
"461","0,001157"
"462","0,001029"
"463","0,001080"
"464","0,001235"
"465","0,001543"
"466","0,001080"
"467","0,001029"
"468","0,000926"
"469","0,001157"
"470","0,001543"
"471","0,001235"
"472","0,001029"
"473","0,001235"
