"","Kanal 1 Durchschn. (V)"
"354","0,001389"
"355","0,001286"
"356","0,001157"
"357","0,001157"
"358","0,001286"
"359","0,001350"
"360","0,001543"
"361","0,001543"
"362","0,001543"
"363","0,001415"
"364","0,001350"
"365","0,001286"
"366","0,001080"
"367","0,001080"
"368","0,001286"
"369","0,001235"
"370","0,001543"
"371","0,001286"
"372","0,001286"
"373","0,001350"
"374","0,001286"
"375","0,001350"
"376","0,001235"
"377","0,001286"
"378","0,001157"
"379","0,001157"
"380","0,001157"
"381","0,001029"
"382","0,001286"
"383","0,001350"
"384","0,001286"
"385","0,001389"
"386","0,001080"
"387","0,001029"
"388","0,001157"
"389","0,001350"
"390","0,001157"
"391","0,001080"
"392","0,001389"
"393","0,001286"
"394","0,001543"
"395","0,001415"
"396","0,001350"
"397","0,001157"
"398","0,001286"
"399","0,001286"
"400","0,000965"
"401","0,001286"
"402","0,001543"
"403","0,001929"
"404","0,001389"
"405","0,001350"
"406","0,001543"
"407","0,001235"
"408","0,001350"
"409","0,001350"
"410","0,001350"
"411","0,001389"
"412","0,001800"
"413","0,001080"
"414","0,001157"
"415","0,001543"
"416","0,001157"
"417","0,001415"
"418","0,001157"
"419","0,001029"
"420","0,001157"
"421","0,001350"
"422","0,001157"
"423","0,001350"
"424","0,001286"
"425","0,001286"
"426","0,001157"
"427","0,001235"
"428","0,001800"
"429","0,001389"
"430","0,001235"
"431","0,001543"
"432","0,001350"
"433","0,001286"
"434","0,001286"
"435","0,001350"
"436","0,001286"
"437","0,001286"
"438","0,001029"
"439","0,001415"
"440","0,001350"
"441","0,001543"
"442","0,001543"
"443","0,001235"
"444","0,001286"
"445","0,001389"
"446","0,001235"
"447","0,001543"
"448","0,001235"
"449","0,001080"
"450","0,001286"
"451","0,001543"
"452","0,001157"
"453","0,001800"
"454","0,001157"
"455","0,001543"
"456","0,001157"
"457","0,001286"
"458","0,001415"
"459","0,001286"
"460","0,001350"
"461","0,001286"
"462","0,000965"
"463","0,001286"
"464","0,001543"
"465","0,001235"
"466","0,001286"
"467","0,001235"
"468","0,001157"
"469","0,001543"
"470","0,001543"
"471","0,001157"
"472","0,001543"
"473","0,001235"
"474","0,001543"
"475","0,001543"
"476","0,001157"
"477","0,001235"
"478","0,001350"
"479","0,001157"
"480","0,001389"
"481","0,001543"
"482","0,001157"
"483","0,001543"
"484","0,001157"
"485","0,001286"
"486","0,001157"
"487","0,001235"
"488","0,001286"
"489","0,001389"
"490","0,001157"
"491","0,001350"
"492","0,001543"
"493","0,001389"
"494","0,001543"
"495","0,001350"
"496","0,001389"
"497","0,001157"
"498","0,001157"
"499","0,001286"
"500","0,001350"
"501","0,001350"
"502","0,001543"
"503","0,001800"
"504","0,001286"
"505","0,001415"
"506","0,001235"
"507","0,001543"
"508","0,001415"
"509","0,001235"
"510","0,001350"
"511","0,001235"
"512","0,001235"
"513","0,001543"
"514","0,001389"
"515","0,001235"
"516","0,001286"
"517","0,001157"
"518","0,001543"
"519","0,001350"
"520","0,001543"
"521","0,001286"
"522","0,001286"
"523","0,001157"
"524","0,001415"
"525","0,001350"
"526","0,001157"
"527","0,001415"
"528","0,001080"
"529","0,001543"
"530","0,001389"
"531","0,001389"
"532","0,001157"
"533","0,001080"
"534","0,001080"
"535","0,001543"
"536","0,001543"
"537","0,001389"
"538","0,001543"
"539","0,001235"
"540","0,001543"
"541","0,001350"
"542","0,001157"
"543","0,001286"
"544","0,001543"
"545","0,001157"
"546","0,001157"
"547","0,001235"
"548","0,001286"
"549","0,001543"
"550","0,001157"
"551","0,001029"
"552","0,001389"
"553","0,001235"
"554","0,001543"
"555","0,001157"
"556","0,001235"
"557","0,001543"
"558","0,001157"
"559","0,001389"
"560","0,001350"
"561","0,001157"
"562","0,001286"
"563","0,001286"
"564","0,001543"
"565","0,001543"
"566","0,001157"
"567","0,001350"
"568","0,001800"
"569","0,001350"
"570","0,001543"
"571","0,001415"
