"","Kanal 1 Durchschn. (V)"
"1","0,001543"
"2","0,001543"
"3","0,001479"
"4","0,001222"
"5","0,001286"
"6","0,001350"
"7","0,001273"
"8","0,001312"
"9","0,001196"
"10","0,001235"
"11","0,001389"
"12","0,001350"
"13","0,001222"
"14","0,001222"
"15","0,001222"
"16","0,001183"
"17","0,001119"
"18","0,001157"
"19","0,001273"
"20","0,001273"
"21","0,001350"
"22","0,001415"
"23","0,001157"
"24","0,001029"
"25","0,001286"
"26","0,001350"
"27","0,001350"
"28","0,001415"
"29","0,001286"
"30","0,001286"
"31","0,001286"
"32","0,001222"
"33","0,001222"
"34","0,001337"
"35","0,001177"
"36","0,000997"
"37","0,001190"
"38","0,001350"
"39","0,001292"
"40","0,001260"
"41","0,001222"
"42","0,001222"
"43","0,001337"
"44","0,001312"
"45","0,001389"
"46","0,001350"
"47","0,001350"
"48","0,001312"
"49","0,001183"
"50","0,001249"
"51","0,001249"
"52","0,001286"
"53","0,001157"
"54","0,001209"
"55","0,001370"
"56","0,001447"
"57","0,001466"
"58","0,001466"
"59","0,001466"
"60","0,001337"
"61","0,001157"
"62","0,001157"
"63","0,001337"
"64","0,001273"
"65","0,001196"
"66","0,001518"
"67","0,001382"
"68","0,001022"
"69","0,001055"
"70","0,001093"
"71","0,001222"
"72","0,001222"
"73","0,001222"
"74","0,001337"
"75","0,001273"
"76","0,001254"
"77","0,001350"
"78","0,001318"
"79","0,001222"
"80","0,001350"
"81","0,001479"
"82","0,001350"
"83","0,001260"
"84","0,001196"
"85","0,001254"
"86","0,001215"
"87","0,001183"
"88","0,001337"
"89","0,001337"
"90","0,001106"
"91","0,001235"
"92","0,001389"
"93","0,001196"
"94","0,001157"
"95","0,001196"
"96","0,001196"
"97","0,001196"
"98","0,001132"
"99","0,001029"
"100","0,001029"
"101","0,001209"
"102","0,001273"
"103","0,001254"
"104","0,001350"
"105","0,001447"
"106","0,001389"
"107","0,001132"
"108","0,001093"
"109","0,001093"
"110","0,001209"
"111","0,001273"
"112","0,001350"
"113","0,001415"
"114","0,001222"
"115","0,001273"
"116","0,001337"
"117","0,001222"
"118","0,001350"
"119","0,001466"
"120","0,001273"
"121","0,001157"
"122","0,001222"
"123","0,001125"
"124","0,001100"
"125","0,001260"
"126","0,001286"
"127","0,001157"
"128","0,001286"
"129","0,001415"
"130","0,001260"
"131","0,001100"
"132","0,000965"
"133","0,001177"
"134","0,001337"
"135","0,001286"
"136","0,001415"
"137","0,001378"
"138","0,001249"
"139","0,001260"
"140","0,001196"
"141","0,001157"
"142","0,001119"
"143","0,001055"
"144","0,001029"
"145","0,001029"
"146","0,001093"
"147","0,001222"
"148","0,001106"
"149","0,000945"
"150","0,001061"
"151","0,001119"
"152","0,001183"
"153","0,001350"
"154","0,001479"
"155","0,001415"
"156","0,001286"
"157","0,001286"
"158","0,001125"
"159","0,000997"
"160","0,001055"
"161","0,001055"
"162","0,001157"
"163","0,001415"
"164","0,001350"
"165","0,001196"
"166","0,001389"
"167","0,001543"
"168","0,001350"
"169","0,001119"
"170","0,001055"
"171","0,001157"
"172","0,001286"
"173","0,001337"
"174","0,001273"
"175","0,001350"
"176","0,001235"
"177","0,001003"
"178","0,001183"
"179","0,001286"
"180","0,001157"
"181","0,001157"
"182","0,001260"
"183","0,001196"
"184","0,001254"
"185","0,001292"
"186","0,001260"
"187","0,001260"
"188","0,001132"
"189","0,001093"
"190","0,001093"
"191","0,001363"
"192","0,001331"
"193","0,001061"
"194","0,001042"
"195","0,001106"
"196","0,001222"
"197","0,001157"
"198","0,001196"
"199","0,001132"
"200","0,001055"
"201","0,001119"
"202","0,001061"
"203","0,000945"
"204","0,001235"
"205","0,001543"
"206","0,001543"
"207","0,001543"
"208","0,001543"
"209","0,001312"
"210","0,001119"
"211","0,001061"
"212","0,001022"
"213","0,001055"
"214","0,001029"
"215","0,001157"
