"","Kanal 1 Durchschn. (V)"
"1","0,001286"
"2","0,001389"
"3","0,001260"
"4","0,001222"
"5","0,001350"
"6","0,001350"
"7","0,001222"
"8","0,001222"
"9","0,001061"
"10","0,001061"
"11","0,001042"
"12","0,001042"
"13","0,001222"
"14","0,001222"
"15","0,001254"
"16","0,001318"
"17","0,001286"
"18","0,001260"
"19","0,001389"
"20","0,001286"
"21","0,001055"
"22","0,001183"
"23","0,001157"
"24","0,001093"
"25","0,001157"
"26","0,001157"
"27","0,001157"
"28","0,001273"
"29","0,001337"
"30","0,001286"
"31","0,001337"
"32","0,001337"
"33","0,001286"
"34","0,001222"
"35","0,001093"
"36","0,001157"
"37","0,001222"
"38","0,001254"
"39","0,001318"
"40","0,001125"
"41","0,001100"
"42","0,001260"
"43","0,001286"
"44","0,001337"
"45","0,001273"
"46","0,001222"
"47","0,001286"
"48","0,001222"
"49","0,001157"
"50","0,001119"
"51","0,001080"
"52","0,001312"
"53","0,001389"
"54","0,001260"
"55","0,001415"
"56","0,001312"
"57","0,001183"
"58","0,001222"
"59","0,001254"
"60","0,001254"
"61","0,001093"
"62","0,001157"
"63","0,001222"
"64","0,001157"
"65","0,001222"
"66","0,001337"
"67","0,001389"
"68","0,001337"
"69","0,001222"
"70","0,001196"
"71","0,001260"
"72","0,001157"
"73","0,001093"
"74","0,001222"
"75","0,001286"
"76","0,001260"
"77","0,001157"
"78","0,000926"
"79","0,001003"
"80","0,001196"
"81","0,001350"
"82","0,001350"
"83","0,001222"
"84","0,001222"
"85","0,001157"
"86","0,001157"
"87","0,001093"
"88","0,001157"
"89","0,001183"
"90","0,001022"
"91","0,001125"
"92","0,001222"
"93","0,001061"
"94","0,001125"
"95","0,001222"
"96","0,001093"
"97","0,001029"
"98","0,000997"
"99","0,001125"
"100","0,001286"
"101","0,001222"
"102","0,001196"
"103","0,001260"
"104","0,001286"
"105","0,001260"
"106","0,001196"
"107","0,001157"
"108","0,001157"
"109","0,001273"
"110","0,001337"
"111","0,001318"
"112","0,001318"
"113","0,001157"
"114","0,001190"
"115","0,001370"
"116","0,001370"
"117","0,001318"
"118","0,001318"
"119","0,001190"
"120","0,001157"
"121","0,001260"
"122","0,001325"
"123","0,001350"
"124","0,001222"
"125","0,001286"
"126","0,001350"
"127","0,001222"
"128","0,001196"
"129","0,001196"
"130","0,001222"
"131","0,001260"
"132","0,001196"
"133","0,001350"
"134","0,001254"
"135","0,001061"
"136","0,001157"
"137","0,001093"
"138","0,001029"
"139","0,001157"
"140","0,001157"
"141","0,001209"
"142","0,001235"
"143","0,001055"
"144","0,001093"
"145","0,001093"
"146","0,001157"
"147","0,001222"
"148","0,001119"
"149","0,001055"
"150","0,001029"
"151","0,001055"
"152","0,001119"
"153","0,001093"
"154","0,001132"
"155","0,001196"
"156","0,001222"
"157","0,001222"
"158","0,001119"
"159","0,001183"
"160","0,001222"
"161","0,001093"
"162","0,001093"
"163","0,001157"
"164","0,001093"
"165","0,000977"
"166","0,000945"
"167","0,000965"
"168","0,001100"
"169","0,001260"
"170","0,001222"
"171","0,001157"
"172","0,001350"
"173","0,001543"
"174","0,001466"
"175","0,001273"
"176","0,001222"
"177","0,001415"
"178","0,001466"
"179","0,001466"
"180","0,001312"
"181","0,001157"
"182","0,001196"
"183","0,001222"
"184","0,001286"
"185","0,001415"
"186","0,001543"
"187","0,001389"
"188","0,001312"
"189","0,001337"
"190","0,001157"
"191","0,001132"
"192","0,001132"
"193","0,000997"
"194","0,001125"
"195","0,001157"
"196","0,001157"
"197","0,001260"
"198","0,001100"
"199","0,001254"
"200","0,001447"
"201","0,001292"
"202","0,001260"
"203","0,001286"
"204","0,001157"
"205","0,001157"
"206","0,001286"
"207","0,001260"
"208","0,001157"
"209","0,001119"
"210","0,001042"
"211","0,001042"
"212","0,001222"
"213","0,001318"
"214","0,001292"
"215","0,001260"
"216","0,001318"
"217","0,001370"
"218","0,001370"
"219","0,001190"
"220","0,001029"
"221","0,001132"
"222","0,001389"
"223","0,001389"
"224","0,001235"
"225","0,001132"
"226","0,001029"
"227","0,001157"
"228","0,001286"
"229","0,001222"
"230","0,001286"
"231","0,001286"
"232","0,001157"
"233","0,001119"
"234","0,001080"
"235","0,001183"
"236","0,001286"
"237","0,001415"
"238","0,001415"
"239","0,001286"
"240","0,001260"
"241","0,001389"
"242","0,001415"
"243","0,001222"
"244","0,001157"
"245","0,001093"
"246","0,001093"
"247","0,001196"
"248","0,001260"
"249","0,001222"
"250","0,001196"
"251","0,001196"
"252","0,001222"
"253","0,001415"
"254","0,001389"
"255","0,001389"
"256","0,001350"
"257","0,001222"
"258","0,001222"
"259","0,001222"
"260","0,001183"
"261","0,001055"
"262","0,000900"
"263","0,001003"
