"","Kanal 1 Durchschn. (V)"
"354","0,001415"
"355","0,001286"
"356","0,001029"
"357","0,001543"
"358","0,001080"
"359","0,001029"
"360","0,001415"
"361","0,001157"
"362","0,001286"
"363","0,001415"
"364","0,001235"
"365","0,001029"
"366","0,001389"
"367","0,001543"
"368","0,001286"
"369","0,001389"
"370","0,001235"
"371","0,001286"
"372","0,001350"
"373","0,001543"
"374","0,001029"
"375","0,001235"
"376","0,001350"
"377","0,001029"
"378","0,001286"
"379","0,001389"
"380","0,001286"
"381","0,001286"
"382","0,001286"
"383","0,001029"
"384","0,001286"
"385","0,001235"
"386","0,001543"
"387","0,001157"
"388","0,001415"
"389","0,001286"
"390","0,001157"
"391","0,001235"
"392","0,000965"
"393","0,000965"
"394","0,001157"
"395","0,001157"
"396","0,000965"
"397","0,001543"
"398","0,001157"
"399","0,001286"
"400","0,001543"
"401","0,001157"
"402","0,001543"
"403","0,001157"
"404","0,001157"
"405","0,001029"
"406","0,001235"
"407","0,001157"
"408","0,001286"
"409","0,001389"
"410","0,001389"
"411","0,001286"
"412","0,001389"
"413","0,001235"
"414","0,000965"
"415","0,001235"
"416","0,001389"
"417","0,001286"
"418","0,001157"
"419","0,001235"
"420","0,001286"
"421","0,001080"
"422","0,001389"
"423","0,001029"
"424","0,001350"
"425","0,001415"
"426","0,001286"
"427","0,001286"
"428","0,001389"
"429","0,001286"
"430","0,001157"
"431","0,001415"
"432","0,001157"
"433","0,001543"
"434","0,001543"
"435","0,001029"
"436","0,000965"
"437","0,001157"
"438","0,001157"
"439","0,001029"
"440","0,001543"
"441","0,001157"
"442","0,001286"
"443","0,001389"
"444","0,001235"
"445","0,000772"
"446","0,001157"
"447","0,001235"
"448","0,001029"
"449","0,001235"
"450","0,001389"
"451","0,001029"
"452","0,001389"
"453","0,001080"
"454","0,001157"
"455","0,001389"
"456","0,001235"
"457","0,001286"
"458","0,001543"
"459","0,001080"
"460","0,001029"
"461","0,001543"
"462","0,001157"
"463","0,000772"
"464","0,001080"
"465","0,001029"
"466","0,001029"
"467","0,001080"
"468","0,001286"
"469","0,001286"
"470","0,001235"
"471","0,001080"
"472","0,001286"
"473","0,001350"
"474","0,001080"
"475","0,001157"
"476","0,001157"
"477","0,001415"
"478","0,001286"
"479","0,001157"
"480","0,001415"
"481","0,001350"
"482","0,001029"
"483","0,001157"
"484","0,001286"
"485","0,001157"
"486","0,001286"
"487","0,001350"
"488","0,001350"
"489","0,001415"
"490","0,000965"
"491","0,001543"
"492","0,001543"
"493","0,001029"
"494","0,001029"
"495","0,001698"
"496","0,001286"
"497","0,001029"
"498","0,001286"
"499","0,001350"
"500","0,001286"
"501","0,001415"
"502","0,001080"
"503","0,001286"
"504","0,001157"
"505","0,001350"
"506","0,001029"
"507","0,001389"
"508","0,001350"
"509","0,001029"
"510","0,001543"
"511","0,001235"
"512","0,001286"
"513","0,001235"
"514","0,001350"
"515","0,000965"
"516","0,001235"
"517","0,001235"
"518","0,001157"
"519","0,001080"
"520","0,001389"
"521","0,001286"
"522","0,001350"
"523","0,001080"
"524","0,001029"
"525","0,001543"
"526","0,001543"
"527","0,001029"
"528","0,001235"
"529","0,001157"
"530","0,001286"
"531","0,001080"
"532","0,001235"
"533","0,001029"
"534","0,001235"
"535","0,001235"
"536","0,001029"
"537","0,001235"
"538","0,001389"
"539","0,001286"
"540","0,001157"
"541","0,001286"
"542","0,001286"
"543","0,001286"
"544","0,001389"
"545","0,001543"
"546","0,001286"
"547","0,001286"
"548","0,001157"
"549","0,001286"
"550","0,001415"
"551","0,001029"
"552","0,001350"
"553","0,001286"
"554","0,000772"
"555","0,001286"
"556","0,001235"
"557","0,000965"
"558","0,001157"
"559","0,001235"
"560","0,001157"
"561","0,001543"
"562","0,001389"
"563","0,000965"
"564","0,001543"
"565","0,001389"
"566","0,001389"
"567","0,001286"
"568","0,001698"
"569","0,001235"
"570","0,001286"
"571","0,001286"
"572","0,001389"
"573","0,001286"
"574","0,001235"
"575","0,001350"
"576","0,001286"
"577","0,001235"
"578","0,001157"
"579","0,001029"
"580","0,001235"
"581","0,001157"
"582","0,001157"
"583","0,001080"
"584","0,001080"
"585","0,001286"
"586","0,001389"
"587","0,001080"
"588","0,001157"
"589","0,001736"
"590","0,001157"
"591","0,001157"
"592","0,001235"
"593","0,001389"
