"","Kanal 1 Durchschn. (V)"
"1","0,001029"
"2","0,001286"
"3","0,001157"
"4","0,001286"
"5","0,001029"
"6","0,001389"
"7","0,001157"
"8","0,001235"
"9","0,001029"
"10","0,001157"
"11","0,001029"
"12","0,001543"
"13","0,001350"
"14","0,001350"
"15","0,001350"
"16","0,001157"
"17","0,001235"
"18","0,001029"
"19","0,001157"
"20","0,001029"
"21","0,001157"
"22","0,001029"
"23","0,001235"
"24","0,001286"
"25","0,001389"
"26","0,001029"
"27","0,001350"
"28","0,001350"
"29","0,001080"
"30","0,001157"
"31","0,000965"
"32","0,001350"
"33","0,001029"
"34","0,001235"
"35","0,001029"
"36","0,001157"
"37","0,001157"
"38","0,001157"
"39","0,001286"
"40","0,001415"
"41","0,001157"
"42","0,001389"
"43","0,001286"
"44","0,001389"
"45","0,001157"
"46","0,001543"
"47","0,001543"
"48","0,001350"
"49","0,001235"
"50","0,001029"
"51","0,001415"
"52","0,001286"
"53","0,001157"
"54","0,001543"
"55","0,001157"
"56","0,001029"
"57","0,001543"
"58","0,001286"
"59","0,001389"
"60","0,001157"
"61","0,001389"
"62","0,001157"
"63","0,001350"
"64","0,001235"
"65","0,001157"
"66","0,001080"
"67","0,001029"
"68","0,001350"
"69","0,000772"
"70","0,001080"
"71","0,001157"
"72","0,001157"
"73","0,001157"
"74","0,001235"
"75","0,001286"
"76","0,001350"
"77","0,001157"
"78","0,001157"
"79","0,001286"
"80","0,001157"
"81","0,001350"
"82","0,001157"
"83","0,000965"
"84","0,001543"
"85","0,001350"
"86","0,001543"
"87","0,001235"
"88","0,001286"
"89","0,001286"
"90","0,001029"
"91","0,001235"
"92","0,001286"
"93","0,001157"
"94","0,001157"
"95","0,001350"
"96","0,001543"
"97","0,000965"
"98","0,001080"
"99","0,000772"
"100","0,001543"
"101","0,001029"
"102","0,001080"
"103","0,001543"
"104","0,001235"
"105","0,001029"
"106","0,001389"
"107","0,001286"
"108","0,001389"
"109","0,001157"
"110","0,001350"
"111","0,001286"
"112","0,000965"
"113","0,001080"
"114","0,000965"
"115","0,001235"
"116","0,001286"
"117","0,001286"
"118","0,001029"
"119","0,001157"
"120","0,001029"
"121","0,001286"
"122","0,001029"
"123","0,001080"
"124","0,001029"
"125","0,001350"
