"","Kanal 1 Durchschn. (V)"
"354","0,001286"
"355","0,001029"
"356","0,001080"
"357","0,001157"
"358","0,001029"
"359","0,001286"
"360","0,001543"
"361","0,001157"
"362","0,000965"
"363","0,000772"
"364","0,001415"
"365","0,001157"
"366","0,001543"
"367","0,000926"
"368","0,001389"
"369","0,001029"
"370","0,001029"
"371","0,001157"
"372","0,001080"
"373","0,001286"
"374","0,001029"
"375","0,000965"
"376","0,001080"
"377","0,001543"
"378","0,000772"
"379","0,001235"
"380","0,001080"
"381","0,001029"
"382","0,000772"
"383","0,001080"
"384","0,000965"
"385","0,001286"
"386","0,000772"
"387","0,001080"
"388","0,001157"
"389","0,001286"
"390","0,000926"
"391","0,001415"
"392","0,000965"
"393","0,001286"
"394","0,000965"
"395","0,001157"
"396","0,001029"
"397","0,001029"
"398","0,001157"
"399","0,001543"
"400","0,001029"
"401","0,001029"
"402","0,001080"
"403","0,001389"
"404","0,001286"
"405","0,001286"
"406","0,001235"
"407","0,001080"
"408","0,001543"
"409","0,001029"
"410","0,001080"
"411","0,001543"
"412","0,001029"
"413","0,001029"
"414","0,001157"
"415","0,001157"
"416","0,001286"
"417","0,001157"
"418","0,001157"
"419","0,001157"
"420","0,001286"
"421","0,000965"
"422","0,001389"
"423","0,000965"
"424","0,001286"
"425","0,001029"
"426","0,001235"
"427","0,001029"
"428","0,001029"
"429","0,000965"
"430","0,001235"
"431","0,001029"
"432","0,000772"
"433","0,001235"
"434","0,001350"
"435","0,001029"
"436","0,001929"
"437","0,001157"
"438","0,000900"
"439","0,001157"
"440","0,001286"
"441","0,001235"
"442","0,000965"
"443","0,001029"
"444","0,001029"
"445","0,001157"
"446","0,001157"
"447","0,001157"
"448","0,001157"
"449","0,001286"
"450","0,001029"
"451","0,001543"
"452","0,000965"
"453","0,001029"
"454","0,001029"
"455","0,001029"
"456","0,000926"
"457","0,001080"
"458","0,001029"
"459","0,001286"
"460","0,001157"
"461","0,001235"
"462","0,001029"
"463","0,001157"
"464","0,001286"
"465","0,001157"
"466","0,001157"
"467","0,001157"
"468","0,001080"
"469","0,001350"
"470","0,001029"
"471","0,001286"
"472","0,001235"
"473","0,001157"
"474","0,001286"
"475","0,001029"
"476","0,001543"
"477","0,001157"
"478","0,001286"
"479","0,001157"
"480","0,001415"
"481","0,001543"
"482","0,001350"
"483","0,000965"
"484","0,001286"
"485","0,001029"
"486","0,001029"
"487","0,001157"
"488","0,001543"
"489","0,001286"
"490","0,001029"
"491","0,001350"
"492","0,001286"
"493","0,001157"
"494","0,001286"
"495","0,001543"
"496","0,001157"
"497","0,001157"
"498","0,000965"
"499","0,001286"
"500","0,001157"
"501","0,001286"
"502","0,001286"
"503","0,001389"
"504","0,001350"
"505","0,001157"
"506","0,001029"
"507","0,001389"
"508","0,001157"
"509","0,001286"
"510","0,000965"
"511","0,001286"
"512","0,001235"
"513","0,001157"
"514","0,001080"
"515","0,001415"
"516","0,001286"
"517","0,000965"
"518","0,000926"
"519","0,001389"
"520","0,001157"
"521","0,001029"
"522","0,001235"
"523","0,001389"
"524","0,001286"
"525","0,001029"
"526","0,001080"
"527","0,001157"
"528","0,001286"
"529","0,001286"
"530","0,001157"
"531","0,001157"
"532","0,001543"
"533","0,001029"
"534","0,001543"
"535","0,000965"
"536","0,001286"
"537","0,001286"
"538","0,001543"
"539","0,001157"
"540","0,001543"
"541","0,001286"
"542","0,001389"
"543","0,001157"
"544","0,001286"
"545","0,000926"
"546","0,001543"
"547","0,001286"
"548","0,001157"
"549","0,001235"
"550","0,001389"
"551","0,001286"
"552","0,001029"
"553","0,001157"
"554","0,001157"
"555","0,001286"
"556","0,001286"
"557","0,001157"
"558","0,001235"
"559","0,001350"
"560","0,001286"
"561","0,001235"
"562","0,001235"
"563","0,001286"
"564","0,001157"
"565","0,001389"
"566","0,001235"
"567","0,001157"
"568","0,001350"
"569","0,001543"
"570","0,001235"
"571","0,001286"
"572","0,001029"
"573","0,001286"
"574","0,001415"
"575","0,001286"
"576","0,001286"
"577","0,001235"
"578","0,001350"
"579","0,001029"
"580","0,001029"
"581","0,001389"
"582","0,001157"
"583","0,001157"
"584","0,001080"
"585","0,001543"
"586","0,001157"
"587","0,001157"
"588","0,001080"
"589","0,001389"
"590","0,001235"
"591","0,000965"
"592","0,000965"
"593","0,001543"
"594","0,001286"
"595","0,001286"
"596","0,001350"
"597","0,001389"
"598","0,001157"
"599","0,001029"
"600","0,001235"
"601","0,001157"
"602","0,001543"
"603","0,001286"
"604","0,001157"
"605","0,001157"
"606","0,001543"
"607","0,001350"
"608","0,001235"
"609","0,001080"
"610","0,001286"
"611","0,001543"
"612","0,001389"
"613","0,001350"
"614","0,001286"
"615","0,001029"
"616","0,001543"
"617","0,001157"
"618","0,001350"
"619","0,001080"
"620","0,001157"
"621","0,001286"
"622","0,001286"
"623","0,000965"
"624","0,001543"
"625","0,001543"
"626","0,001029"
"627","0,001543"
"628","0,001543"
"629","0,001029"
"630","0,001350"
"631","0,001235"
"632","0,001157"
"633","0,001157"
"634","0,001157"
"635","0,000900"
"636","0,001235"
"637","0,001543"
"638","0,001157"
"639","0,001029"
"640","0,001543"
"641","0,001286"
"642","0,001286"
"643","0,001080"
"644","0,000965"
"645","0,001286"
"646","0,001157"
"647","0,001389"
"648","0,001235"
"649","0,001286"
"650","0,001080"
